epoch	loss	mse
0	1.026980839924363e-06	1.026980839924363e-06
1	1.03099728221423e-06	1.03099728221423e-06
2	1.039833819049818e-06	1.039833819049818e-06
3	1.054932113220275e-06	1.054932113220275e-06
4	1.07850019048783e-06	1.07850019048783e-06
5	1.1133248563055531e-06	1.1133248563055531e-06
6	1.1640803450063686e-06	1.1640803450063686e-06
7	1.2367860335871228e-06	1.2367860335871228e-06
8	1.3406729522102978e-06	1.3406729522102978e-06
9	1.4883834182910505e-06	1.4883834182910505e-06
10	1.6994173392959055e-06	1.6994173392959055e-06
11	2.002791916311253e-06	2.002791916311253e-06
12	2.439837544443435e-06	2.439837544443435e-06
13	3.071198534598807e-06	3.071198534598807e-06
14	3.980750989285298e-06	3.980750989285298e-06
15	5.290259196044644e-06	5.290259196044644e-06
16	7.15112855687039e-06	7.15112855687039e-06
17	9.757923180586658e-06	9.757923180586658e-06
18	1.3276431673148181e-05	1.3276431673148181e-05
19	1.781361788744107e-05	1.781361788744107e-05
20	2.3143325961427763e-05	2.3143325961427763e-05
21	2.864147609216161e-05	2.864147609216161e-05
22	3.288794687250629e-05	3.288794687250629e-05
23	3.430997458053753e-05	3.430997458053753e-05
24	3.176585232722573e-05	3.176585232722573e-05
25	2.6281086320523173e-05	2.6281086320523173e-05
26	2.09371792152524e-05	2.09371792152524e-05
27	1.9553386664483696e-05	1.9553386664483696e-05
28	2.4394541469519027e-05	2.4394541469519027e-05
29	3.5214030503993854e-05	3.5214030503993854e-05
30	4.984197221347131e-05	4.984197221347131e-05
31	6.571792619070038e-05	6.571792619070038e-05
32	8.070994226727635e-05	8.070994226727635e-05
33	9.443332237424329e-05	9.443332237424329e-05
34	0.0001069344361894764	0.0001069344361894764
35	0.00011810231080744416	0.00011810231080744416
36	0.00012499011063482612	0.00012499011063482612
37	0.0001229379849974066	0.0001229379849974066
38	0.00010792212560772896	0.00010792212560772896
39	8.031011384446174e-05	8.031011384446174e-05
40	4.6935983846196905e-05	4.6935983846196905e-05
41	1.8212389477412216e-05	1.8212389477412216e-05
42	2.7648566174320877e-06	2.7648566174320877e-06
43	2.7557616704143584e-06	2.7557616704143584e-06
44	1.3710027815250214e-05	1.3710027815250214e-05
45	2.7818929083878174e-05	2.7818929083878174e-05
46	3.7931960832793266e-05	3.7931960832793266e-05
47	4.027716931886971e-05	4.027716931886971e-05
48	3.4995748137589544e-05	3.4995748137589544e-05
49	2.5116814867942594e-05	2.5116814867942594e-05
